Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Cloud Type -1,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,339939,-,-,-,31.05,-110.74,-7,1576,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,mm,Degrees,m/s,m,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,v2.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Precipitable Water,Wind Direction,Wind Speed,Fill Flag
2013,1,1,15,0,59,938,452,59,938,452,0,-10.601354980468727,10.336145019531273,865.4783935546875,21.80889892578125,65.26828183686976,4.056755065917969,60.31359100341797,2.5648043155670166,0
2013,1,1,15,30,54,891,366,54,891,366,0,-10.336340332031227,9.227319335937523,865.6079711914062,23.9894962310791,69.5555918411707,4.087151050567627,60.31359100341797,2.4197888374328613,0
2013,1,1,16,0,48,822,271,48,822,271,0,-10.076361083984352,8.118463134765648,865.737548828125,26.39373016357422,74.28706426433571,4.117547035217285,60.77107238769531,2.274773359298706,0
2013,1,1,16,30,39,711,170,39,711,170,0,-9.239141845703102,6.329919433593773,865.8759765625,31.858163833618164,79.38134883724119,4.156696796417236,60.77107238769531,2.1877613067626953,0
2013,1,1,17,0,26,512,73,26,512,73,1,-8.447393798828102,4.541375732421898,866.0143432617188,38.36787033081055,84.77058714922131,4.1958465576171875,59.3746337890625,2.1007490158081055,0
2013,1,1,17,30,0,0,0,0,0,0,4,-8.540167236328102,4.016412353515648,866.37646484375,39.51814270019531,90.39708462485268,4.247056484222412,59.3746337890625,2.157024383544922,0
2013,1,1,18,0,0,0,0,0,0,0,7,-8.633825683593727,3.4914489746093977,866.7386474609375,40.70631408691406,96.22679397801795,4.298266410827637,64.18573760986328,2.2132997512817383,0
2013,1,1,18,30,0,0,0,0,0,0,7,-8.933264160156227,3.2787414550781477,866.9420166015625,40.36697006225586,102.21010762252594,4.3456854820251465,64.18573760986328,2.3731517791748047,0
2013,1,1,19,0,0,0,0,0,0,0,7,-9.239324951171852,3.0660339355468977,867.1454467773438,40.008453369140625,108.32159619419518,4.393104553222656,70.04629516601562,2.533003807067871,0
2013,1,1,19,30,0,0,0,0,0,0,7,-9.182897949218727,2.9291015625000227,867.2376098632812,40.576969146728516,114.53597308414554,4.391826152801514,70.04629516601562,2.7801313400268555,0
2013,1,1,20,0,0,0,0,0,0,0,4,-9.126684570312477,2.7921997070312727,867.3297729492188,41.153167724609375,120.83142330628178,4.390547752380371,71.93382263183594,3.0272586345672607,0
2013,1,1,20,30,0,0,0,0,0,0,4,-9.292822265624977,2.6195312500000227,867.296875,41.121585845947266,127.1882108449806,4.332123279571533,71.93382263183594,3.2778658866882324,0
2013,1,1,21,0,0,0,0,0,0,0,4,-9.460913085937477,2.4468627929687727,867.2639770507812,41.0836296081543,133.58708232364702,4.273698329925537,70.564453125,3.528473138809204,0
2013,1,1,21,30,0,0,0,0,0,0,1,-9.553259277343727,2.1413513183593977,867.027587890625,41.68330001831055,140.00698043751143,4.169709205627441,70.564453125,3.718916416168213,0
2013,1,1,22,0,0,0,0,0,0,0,1,-9.646185302734352,1.8358398437500227,866.7911376953125,42.2917594909668,146.42091853427317,4.065720081329346,69.80070495605469,3.9093596935272217,0
2013,1,1,22,30,0,0,0,0,0,0,1,-9.761511230468727,1.4321228027343977,866.566162109375,43.1380615234375,152.78685466636588,3.935612440109253,69.80070495605469,4.037075042724609,0
2013,1,1,23,0,0,0,0,0,0,0,1,-9.877813720703102,1.0284362792968977,866.3412475585938,44.00164794921875,159.023309042137,3.80550479888916,69.63871765136719,4.164790630340576,0
2013,1,1,23,30,0,0,0,0,0,0,0,-9.972113037109352,0.5752502441406477,866.04248046875,45.1253547668457,164.92961338623377,3.6639645099639893,69.63871765136719,4.228616237640381,0
2013,1,2,0,0,0,0,0,0,0,0,1,-10.067053222656227,0.12206420898439774,865.74365234375,46.28069305419922,169.86918314399122,3.5224242210388184,69.48351287841797,4.2924418449401855,0
2013,1,2,0,30,0,0,0,0,0,0,1,-10.138250732421852,-0.30646362304685226,865.5234375,47.47507095336914,171.81306002386572,3.39455509185791,69.48351287841797,4.313416481018066,0
2013,1,2,1,0,0,0,0,0,0,0,0,-10.209814453124977,-0.7350219726562273,865.3031616210938,48.70402145385742,169.0261464876843,3.266685962677002,69.27105712890625,4.3343915939331055,0
2013,1,2,1,30,0,0,0,0,0,0,0,-10.232458496093727,-1.0665039062499773,865.3159790039062,49.80882263183594,163.79365613370445,3.1782798767089844,69.27105712890625,4.354380130767822,0
2013,1,2,2,0,0,0,0,0,0,0,4,-10.255133056640602,-1.3979858398437273,865.3287963867188,50.94176483154297,157.79244747015053,3.0898735523223877,67.48609161376953,4.374368667602539,0
2013,1,2,2,30,0,0,0,0,0,0,0,-10.242193603515602,-1.6825317382812273,865.3248291015625,52.07086944580078,151.5191320995902,3.0048389434814453,67.48609161376953,4.403391361236572,0
2013,1,2,3,0,0,0,0,0,0,0,0,-10.229254150390602,-1.9671081542968523,865.3209228515625,53.22763442993164,145.13788883814783,2.919804334640503,68.27605438232422,4.4324140548706055,0
2013,1,2,3,30,0,0,0,0,0,0,0,-10.217260742187477,-2.1939453124999773,865.262451171875,54.177330017089844,138.71878859618943,2.8517239093780518,68.27605438232422,4.48848819732666,0
2013,1,2,4,0,0,0,0,0,0,0,0,-10.205236816406227,-2.4207519531249773,865.2039794921875,55.1454963684082,132.29964656708032,2.7836434841156006,72.11231231689453,4.544562816619873,0
2013,1,2,4,30,0,0,0,0,0,0,1,-10.156530761718727,-2.5614685058593523,865.2462768554688,55.93785095214844,125.90574856399797,2.732034921646118,72.11231231689453,4.616325378417969,0
2013,1,2,5,0,0,0,0,0,0,0,0,-10.107977294921852,-2.7021545410156023,865.28857421875,56.74132537841797,119.55752003365849,2.6804261207580566,76.78152465820312,4.6880879402160645,0
2013,1,2,5,30,0,0,0,0,0,0,1,-10.057867431640602,-2.7690795898437273,865.47998046875,57.24968719482422,113.27412924104569,2.6361734867095947,76.78152465820312,4.743206024169922,0
2013,1,2,6,0,0,0,0,0,0,0,1,-10.007910156249977,-2.8360351562499773,865.67138671875,57.76210021972656,107.07557487332761,2.591921091079712,80.66985321044922,4.798324108123779,0
2013,1,2,6,30,0,0,0,0,0,0,1,-9.936346435546852,-2.6843933105468523,865.8223876953125,57.4390869140625,100.98421381984446,2.5450868606567383,80.66985321044922,4.815252304077148,0
2013,1,2,7,0,0,0,0,0,0,0,1,-9.865118408203102,-2.5327514648437273,865.9733276367188,57.116943359375,95.0261468703171,2.4982526302337646,83.27749633789062,4.832180500030518,0
2013,1,2,7,30,0,0,0,0,0,0,1,-9.696569824218727,-1.1223815917968523,866.1544189453125,52.1714973449707,89.22923205749834,2.450186252593994,83.27749633789062,4.691814422607422,0
2013,1,2,8,0,30,589,95,30,589,95,0,-9.530584716796852,0.28801879882814774,866.3355102539062,47.700958251953125,83.64076726179671,2.4021196365356445,85.80530548095703,4.551447868347168,0
2013,1,2,8,30,42,763,197,42,763,197,0,-9.318090820312477,2.5255371093750227,866.3936767578125,41.314971923828125,78.30011962549368,2.382702112197876,85.80530548095703,4.41678524017334,0
2013,1,2,9,0,50,862,298,50,862,298,0,-9.110906982421852,4.763055419921898,866.4517822265625,35.87176513671875,73.26634087064159,2.3632848262786865,89.48455810546875,4.2821221351623535,0
2013,1,2,9,30,56,925,393,56,925,393,0,-8.921850585937477,6.902917480468773,866.39599609375,31.39801025390625,68.60988385700176,2.37046217918396,89.48455810546875,4.122187614440918,0
2013,1,2,10,0,60,967,478,60,967,478,0,-8.738043212890602,9.042749023437523,866.3401489257812,27.539384841918945,64.41496256253079,2.3776395320892334,93.58145141601562,3.962252616882324,0
2013,1,2,10,30,64,996,550,64,996,550,0,-8.727575683593727,10.740869140625023,866.0699462890625,24.599599838256836,60.77916807071817,2.4121134281158447,93.58145141601562,3.6996140480041504,0
2013,1,2,11,0,66,1015,607,66,1015,607,0,-8.719091796874977,12.439019775390648,865.7997436523438,22.00344467163086,57.80969039459202,2.446587324142456,99.65629577636719,3.4369754791259766,0
2013,1,2,11,30,68,1027,648,68,1027,648,0,-9.085516357421852,13.678460693359398,865.2979736328125,19.719663619995117,55.614607635509834,2.5093023777008057,99.65629577636719,3.1109514236450195,0
2013,1,2,12,0,69,1034,672,69,1034,672,0,-9.461401367187477,14.917901611328148,864.7962036132812,17.671951293945312,54.28881770690279,2.5720174312591553,107.83065032958984,2.7849276065826416,0
2013,1,2,12,30,69,1035,679,69,1035,679,0,-9.419226074218727,15.434014892578148,864.3319091796875,17.152307510375977,53.89702360861546,2.6489155292510986,107.83065032958984,2.494478464126587,0
2013,1,2,13,0,69,1031,668,69,1031,668,0,-9.377508544921852,15.950128173828148,863.8675537109375,16.649492263793945,54.45954069308948,2.725813627243042,106.49613952636719,2.2040293216705322,0
2013,1,2,13,30,67,1022,640,67,1022,640,0,-9.324163818359352,15.936791992187523,863.6281127929688,16.73358154296875,55.9473963093982,2.8025684356689453,106.49613952636719,1.9195125102996826,0
2013,1,2,14,0,66,1007,595,66,1007,595,0,-9.271002197265602,15.923455810546898,863.388671875,16.817766189575195,58.28925413600392,2.8793234825134277,97.06124114990234,1.6349955797195435,0
2013,1,2,14,30,63,984,534,63,984,534,0,-9.239752197265602,15.340447998046898,863.337890625,17.500152587890625,61.38662851104857,2.9639346599578857,97.06124114990234,1.4786601066589355,0
2013,1,2,15,0,59,951,460,59,951,460,0,-9.208807373046852,14.757440185546898,863.287109375,18.21282958984375,65.1307123172563,3.0485455989837646,78.52056121826172,1.3223247528076172,0
2013,1,2,15,30,55,905,373,55,905,373,0,-7.558813476562477,13.353662109375023,863.334716796875,22.67951202392578,69.41555754821171,3.1324198246002197,78.52056121826172,1.3584134578704834,0
2013,1,2,16,0,48,836,277,48,836,277,0,-6.073583984374977,11.949884033203148,863.3823852539062,27.867198944091797,74.14581599711495,3.2162938117980957,51.627132415771484,1.3945022821426392,0
2013,1,2,16,30,40,726,175,40,726,175,0,-6.756292724609352,10.012811279296898,863.5697631835938,30.078617095947266,79.23978798046281,3.2993826866149902,51.627132415771484,1.6695787906646729,0
2013,1,2,17,0,27,529,76,27,529,76,0,-7.477331542968727,8.075738525390648,863.7571411132812,32.42406463623047,84.62935258651667,3.382471799850464,32.59381866455078,1.9446552991867065,0
2013,1,2,17,30,0,0,0,0,0,0,1,-7.388983154296852,7.405450439453148,863.98291015625,34.170806884765625,90.25678014476605,3.4605910778045654,32.59381866455078,2.223320245742798,0
2013,1,2,18,0,0,0,0,0,0,0,0,-7.301306152343727,6.735131835937523,864.2086791992188,36.01856994628906,96.08718243436628,3.538710355758667,33.25143814086914,2.5019853115081787,0
2013,1,2,18,30,0,0,0,0,0,0,0,-7.642675781249977,6.165704345703148,864.51806640625,36.48386764526367,102.07159422900871,3.617312431335449,33.25143814086914,2.7100448608398438,0
2013,1,2,19,0,0,0,0,0,0,0,0,-7.992895507812477,5.596246337890648,864.827392578125,36.93372344970703,108.18422556214655,3.6959145069122314,41.00210952758789,2.9181041717529297,0
2013,1,2,19,30,0,0,0,0,0,0,0,-7.794592285156227,4.982812500000023,865.0252075195312,39.13810729980469,114.39971314607259,3.7697384357452393,41.00210952758789,3.0885019302368164,0
2013,1,2,20,0,0,0,0,0,0,0,0,-7.598913574218727,4.369378662109398,865.2230224609375,41.473419189453125,120.69616993272811,3.843562364578247,50.24577713012695,3.258899450302124,0
2013,1,2,20,30,0,0,0,0,0,0,0,-7.682623291015602,3.7652526855468977,865.2860717773438,42.989749908447266,127.05378191786573,3.913214683532715,50.24577713012695,3.3991003036499023,0
2013,1,2,21,0,0,0,0,0,0,0,0,-7.767034912109352,3.1611267089843977,865.34912109375,44.56814956665039,133.4531988846546,3.9828670024871826,57.332462310791016,3.5393009185791016,0
2013,1,2,21,30,0,0,0,0,0,0,0,-7.863775634765602,2.5951171875000227,865.314453125,46.045101165771484,139.87322958508977,4.0639166831970215,57.332462310791016,3.6170406341552734,0
2013,1,2,22,0,0,0,0,0,0,0,0,-7.961340332031227,2.0291076660156477,865.2797241210938,47.57651138305664,146.28668913728114,4.1449666023254395,61.284278869628906,3.6947805881500244,0
2013,1,2,22,30,0,0,0,0,0,0,0,-8.091833496093727,1.5755859375000227,865.307861328125,48.648658752441406,152.65123941652774,4.267632961273193,61.284278869628906,3.7237043380737305,0
2013,1,2,23,0,0,0,0,0,0,0,0,-8.223669433593727,1.1220642089843977,865.3360595703125,49.745304107666016,158.88503208508254,4.390298843383789,63.367000579833984,3.7526283264160156,0
2013,1,2,23,30,0,0,0,0,0,0,1,-8.305609130859352,0.7875305175781477,865.3118896484375,50.633792877197266,164.7876505649573,4.563599109649658,63.367000579833984,3.745270252227783,0
2013,1,3,0,0,0,0,0,0,0,0,0,-8.388037109374977,0.45296630859377274,865.2877197265625,51.53935623168945,169.7299958003183,4.7368998527526855,65.72224426269531,3.7379119396209717,0
2013,1,3,0,30,0,0,0,0,0,0,0,-8.440344238281227,0.19002685546877274,865.1917114257812,52.315555572509766,171.7252080426478,4.926247596740723,65.72224426269531,3.696474075317383,0
2013,1,3,1,0,0,0,0,0,0,0,0,-8.492864990234352,-0.07294311523435226,865.095703125,53.10476303100586,169.0205018091718,5.11559534072876,69.36617279052734,3.655036449432373,0
2013,1,3,1,30,0,0,0,0,0,0,0,-8.474554443359352,-0.19174804687497726,864.9026489257812,53.6412239074707,163.8282975519727,5.291547775268555,69.36617279052734,3.6633310317993164,0
2013,1,3,2,0,0,0,0,0,0,0,0,-8.456274414062477,-0.31058349609372726,864.7095947265625,54.18352508544922,157.84392669567353,5.46750020980835,74.76126861572266,3.6716256141662598,0
2013,1,3,2,30,0,0,0,0,0,0,0,-8.416784667968727,-0.36838378906247726,864.5738525390625,54.5792350769043,151.5780893873512,5.675788402557373,74.76126861572266,3.6608433723449707,0
2013,1,3,3,0,0,0,0,0,0,0,1,-8.377416992187477,-0.42621459960935226,864.4381103515625,54.977500915527344,145.1999809937605,5.8840765953063965,78.72184753417969,3.6500611305236816,0
2013,1,3,3,30,0,0,0,0,0,0,1,-8.324377441406227,-0.47290649414060226,864.52734375,55.39269256591797,138.78163422410103,6.042984485626221,78.72184753417969,3.615840435028076,0
2013,1,3,4,0,0,0,0,0,0,0,1,-8.271490478515602,-0.5195983886718523,864.6166381835938,55.81023025512695,132.36173608021272,6.201891899108887,80.98191833496094,3.58161997795105,0
2013,1,3,4,30,0,0,0,0,0,0,1,-8.207861328124977,-0.5549987792968523,864.7759399414062,56.23164749145508,125.96599342806641,6.293558597564697,80.98191833496094,3.577993869781494,0
2013,1,3,5,0,0,0,0,0,0,0,1,-8.144506835937477,-0.5904296874999773,864.9352416992188,56.65514373779297,119.61503920710035,6.385225772857666,83.11465454101562,3.5743675231933594,0
2013,1,3,5,30,0,0,0,0,0,0,4,-8.050817871093727,-0.6211608886718523,865.0494384765625,57.19648742675781,113.32813457776818,6.390983581542969,83.11465454101562,3.5855276584625244,0
2013,1,3,6,0,0,0,0,0,0,0,4,-7.957708740234352,-0.6519226074218523,865.1636352539062,57.740234375,107.12530157207124,6.396740913391113,86.84403228759766,3.5966877937316895,0
2013,1,3,6,30,0,0,0,0,0,0,3,-7.805181884765602,-0.42554321289060226,865.3736572265625,57.470924377441406,101.02887259638693,6.374688625335693,86.84403228759766,3.6164345741271973,0
2013,1,3,7,0,0,0,0,0,0,0,1,-7.654211425781227,-0.19913330078122726,865.583740234375,57.1967887878418,95.06488706939093,6.352636337280273,91.26896667480469,3.636181116104126,0
2013,1,3,7,30,0,0,0,0,0,0,1,-7.257482910156227,1.2751403808593977,865.854736328125,53.02041244506836,89.26111224387652,6.410195350646973,91.26896667480469,3.4491961002349854,0
2013,1,3,8,0,29,541,89,29,541,89,0,-6.872167968749977,2.7494140625000227,866.1256713867188,49.163509368896484,83.66473115218886,6.46775484085083,95.7113265991211,3.2622110843658447,0
2013,1,3,8,30,41,715,186,41,715,186,0,-5.951422119140602,4.845544433593773,866.44140625,45.523136138916016,78.31496206537906,6.653823375701904,95.7113265991211,2.982123613357544,0
2013,1,3,9,0,49,814,284,49,814,284,0,-5.087744140624977,6.941674804687523,866.757080078125,42.05168533325195,73.27072416088691,6.839892387390137,101.07319641113281,2.702036142349243,0
2013,1,3,9,30,69,0,69,55,877,375,4,-2.7749084472656023,9.113366699218773,866.9872436523438,43.14676284790039,68.6023483121841,7.06272554397583,101.07319641113281,2.4250245094299316,0
2013,1,3,10,0,192,224,289,59,920,457,4,-0.7741149902343523,11.285089111328148,867.2174072265625,43.240814208984375,64.39398835038271,7.285559177398682,122.96283721923828,2.148012638092041,0
2013,1,3,10,30,226,113,282,63,949,527,4,-0.20065917968747726,12.475701904296898,867.043212890625,41.68144226074219,60.74330070636208,7.434650897979736,122.96283721923828,1.8079047203063965,0
2013,1,3,11,0,251,104,307,65,969,582,4,0.35003051757814774,13.666314697265648,866.8689575195312,40.133583068847656,57.757744386288145,7.583742618560791,141.79541015625,1.467796802520752,0
2013,1,3,11,30,254,60,288,67,982,623,4,0.30401000976564774,14.186975097656273,866.6361083984375,38.671730041503906,55.54593179598012,7.693655014038086,141.79541015625,1.2056163549423218,0
2013,1,3,12,0,285,210,408,68,989,646,4,0.25768432617189774,14.707635498046898,866.4032592773438,37.2673225402832,54.20355932607844,7.803567409515381,174.486083984375,0.9434358477592468,0
2013,1,3,12,30,289,204,410,68,991,653,4,-0.025061035156227263,14.607080078125023,866.3404541015625,36.7492790222168,53.79627554608212,7.8872551918029785,174.486083984375,0.9280717372894287,0
2013,1,3,13,0,282,209,403,68,987,643,-15,-0.31302490234372726,14.506555175781273,866.277587890625,36.22308349609375,54.345268560133086,7.970942974090576,220.0708770751953,0.9127075672149658,1
2013,1,3,13,30,269,113,333,67,978,617,4,-0.6013549804687273,14.004022216796898,866.185302734375,36.64308166503906,55.82214102334375,8.017812728881836,220.0708770751953,1.0293283462524414,0
2013,1,3,14,0,65,964,574,65,964,574,0,-0.8955749511718523,13.501519775390648,866.0930786132812,37.0548095703125,58.15572644483934,8.064682960510254,247.70399475097656,1.1459492444992065,0
2013,1,3,14,30,203,349,371,62,942,516,2,-1.2689575195312273,12.846002197265648,866.145751953125,37.631893157958984,61.247353750676496,8.031785011291504,247.70399475097656,1.1953762769699097,0
