Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Cloud Type -1,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,339939,-,-,-,31.05,-110.74,-7,1576,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,mm,Degrees,m/s,m,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,v2.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Precipitable Water,Wind Direction,Wind Speed,Fill Flag
2012,3,6,16,30,59,895,411,59,895,411,0,-11.843878173828102,18.642663574218773,860.5611572265625,11.549405097961426,66.89102459515837,3.9127962589263916,220.53225708007812,5.850767135620117,0
2012,3,6,17,0,52,814,291,52,814,291,0,-11.299566650390602,17.213494873046898,860.6537475585938,13.19769287109375,72.94289381912053,3.957310438156128,219.08181762695312,5.697663307189941,0
2012,3,6,17,30,41,685,170,41,685,170,0,-10.907720947265602,15.648156738281273,860.7645263671875,15.041921615600586,79.14370953086592,3.981342077255249,219.08181762695312,5.589813232421875,0
2012,3,6,18,0,25,440,60,25,440,60,0,-10.527105712890602,14.082849121093773,860.8753662109375,17.14756202697754,85.44876071215928,4.005373954772949,216.42543029785156,5.481963634490967,0
2012,3,6,18,30,0,0,0,0,0,0,0,-10.337377929687477,13.223687744140648,861.110595703125,18.406980514526367,91.82475820190648,4.00026273727417,216.42543029785156,5.496572494506836,0
2012,3,6,19,0,0,0,0,0,0,0,0,-10.150305175781227,12.364526367187523,861.3458251953125,19.76169776916504,98.23688793265647,3.9951515197753906,214.09835815429688,5.511180877685547,0
2012,3,6,19,30,0,0,0,0,0,0,0,-9.954809570312477,11.662408447265648,861.607421875,21.018550872802734,104.65726755099766,4.0320963859558105,214.09835815429688,5.428495407104492,0
2012,3,6,20,0,0,0,0,0,0,0,4,-9.761968994140602,10.960321044921898,861.8690185546875,22.355804443359375,111.05558543478597,4.0690412521362305,208.65069580078125,5.345810413360596,0
2012,3,6,20,30,0,0,0,0,0,0,7,-9.588110351562477,10.391351318359398,861.833740234375,23.538135528564453,117.39727162969163,4.246027946472168,208.65069580078125,5.305088996887207,0
2012,3,6,21,0,0,0,0,0,0,0,4,-9.416418457031227,9.822381591796898,861.7985229492188,24.782548904418945,123.63913744908567,4.4230146408081055,199.59335327148438,5.264367580413818,0
2012,3,6,21,30,0,0,0,0,0,0,3,-9.243902587890602,9.548883056640648,861.4017944335938,25.58515167236328,129.7228865072257,4.505683422088623,199.59335327148438,5.315328598022461,0
2012,3,6,22,0,0,0,0,0,0,0,0,-9.073553466796852,9.275384521484398,861.0050659179688,26.4097843170166,135.56485562526458,4.588352680206299,192.8193359375,5.366290092468262,0
2012,3,6,22,30,0,0,0,0,0,0,3,-8.893835449218727,9.082208251953148,860.6920166015625,27.134143829345703,141.03958228674344,4.64484977722168,192.8193359375,5.418951511383057,0
2012,3,6,23,0,0,0,0,0,0,0,4,-8.716467285156227,8.889001464843773,860.3790283203125,27.873369216918945,145.95493627237096,4.701347351074219,190.90965270996094,5.471612930297852,0
2012,3,6,23,30,0,0,0,0,0,0,4,-8.562017822265602,8.616387939453148,859.97412109375,28.735498428344727,150.0222495566013,4.76499080657959,190.90965270996094,5.5085768699646,0
2012,3,7,0,0,0,0,0,0,0,0,4,-8.409307861328102,8.343804931640648,859.5692749023438,29.620901107788086,152.84825033262553,4.828633785247803,190.92733764648438,5.545540809631348,0
2012,3,7,0,30,0,0,0,0,0,0,4,-8.284460449218727,8.046777343750023,859.4515380859375,30.518918991088867,154.01865701638008,4.942696571350098,190.92733764648438,5.542318344116211,0
2012,3,7,1,0,0,0,0,0,0,0,7,-8.160711669921852,7.749749755859398,859.3338012695312,31.442672729492188,153.31242083577837,5.056758880615234,193.63400268554688,5.539095878601074,0
2012,3,7,1,30,0,0,0,0,0,0,-15,-8.025274658203102,7.343225097656273,859.3642578125,32.668399810791016,150.86665679145216,5.150172710418701,193.63400268554688,5.486884117126465,1
2012,3,7,2,0,0,0,0,0,0,0,4,-7.891058349609352,6.936730957031273,859.394775390625,33.941200256347656,147.0702744383439,5.243586540222168,198.0252685546875,5.434671878814697,0
2012,3,7,2,30,0,0,0,0,0,0,-15,-7.658331298828102,6.436791992187523,859.431640625,35.76544952392578,142.33513558138546,5.185844421386719,198.0252685546875,5.329530715942383,1
2012,3,7,3,0,0,0,0,0,0,0,4,-7.429174804687477,5.936853027343773,859.4684448242188,37.68111801147461,136.97750782527578,5.128102779388428,200.57386779785156,5.22438907623291,0
2012,3,7,3,30,0,0,0,0,0,0,7,-7.021520996093727,5.441094970703148,859.6061401367188,40.241031646728516,131.21106132246925,4.904538631439209,200.57386779785156,5.07170295715332,0
2012,3,7,4,0,0,0,0,0,0,0,7,-6.624609374999977,4.945336914062523,859.7438354492188,42.940731048583984,125.17529239529772,4.68097448348999,200.56826782226562,4.9190168380737305,0
2012,3,7,4,30,0,0,0,0,0,0,6,-6.131201171874977,4.480981445312523,859.8473510742188,46.06074523925781,118.96245559522994,4.427448749542236,200.56826782226562,4.765024185180664,0
2012,3,7,5,0,0,0,0,0,0,0,7,-5.653448486328102,4.016625976562523,859.9508666992188,49.347110748291016,112.63596769698611,4.173923015594482,198.19232177734375,4.611032009124756,0
2012,3,7,5,30,0,0,0,0,0,0,8,-5.082678222656227,3.7273193359375227,860.0767211914062,52.58802032470703,106.24196276548298,4.000271797180176,198.19232177734375,4.528532981872559,0
2012,3,7,6,0,0,0,0,0,0,0,7,-4.532568359374977,3.4380126953125227,860.2025756835938,55.94575881958008,99.81653879579916,3.8266208171844482,194.753173828125,4.4460344314575195,0
2012,3,7,6,30,0,0,0,0,0,0,4,-3.7353881835937273,4.507592773437523,860.3619384765625,55.0985107421875,93.39052809584086,3.7331490516662598,194.753173828125,4.287708759307861,0
2012,3,7,7,0,19,348,37,19,348,37,4,-2.9791320800781023,5.577172851562523,860.521240234375,54.11263656616211,86.99098272860772,3.6396775245666504,192.9697265625,4.129383087158203,4
2012,3,7,7,30,38,645,143,38,645,143,0,-1.8470825195312273,7.513970947265648,860.6742553710938,51.5025749206543,80.65311069757388,3.6145095825195312,192.9697265625,4.151617527008057,0
2012,3,7,8,0,50,793,263,50,793,263,0,-0.7967590332031023,9.450769042968773,860.8272705078125,48.78841781616211,74.40697948793351,3.589341640472412,197.8817901611328,4.17385196685791,0
2012,3,7,8,30,58,880,384,58,880,384,0,-1.1000732421874773,11.115625000000023,860.9423217773438,42.69978713989258,68.29457129650662,3.6697537899017334,197.8817901611328,4.209518909454346,0
2012,3,7,9,0,65,937,499,65,937,499,0,-1.4106201171874773,12.780511474609398,861.057373046875,37.403011322021484,62.36883079351499,3.7501659393310547,208.54843139648438,4.245185852050781,0
2012,3,7,9,30,70,974,605,70,974,605,0,-2.1770996093749773,14.205499267578148,861.2083740234375,32.21982955932617,56.699862080119885,3.9684736728668213,208.54843139648438,4.327218055725098,0
2012,3,7,10,0,73,1001,698,73,1001,698,0,-2.9834655761718523,15.630487060546898,861.3594360351562,27.69109344482422,51.38261086463575,4.186781406402588,221.05160522460938,4.409249782562256,0
2012,3,7,10,30,77,1018,777,77,1018,777,0,-3.3901123046874773,16.559991455078148,861.3819580078125,25.318601608276367,46.54620133726256,4.5094804763793945,221.05160522460938,4.474754333496094,0
2012,3,7,11,0,79,1030,840,79,1030,840,0,-3.8078674316406023,17.489495849609398,861.4044189453125,23.137514114379883,42.36269138215083,4.832179069519043,231.3543243408203,4.54025936126709,0
2012,3,7,11,30,80,1038,887,80,1038,887,0,-4.183966064453102,17.922479248046898,861.339599609375,21.88896942138672,39.04812710692599,5.130955696105957,231.3543243408203,4.566556930541992,0
2012,3,7,12,0,81,1042,915,81,1042,915,0,-4.569342041015602,18.355432128906273,861.2748413085938,20.6933536529541,36.84190067981329,5.429732322692871,239.79132080078125,4.592854976654053,0
2012,3,7,12,30,82,1043,926,82,1043,926,0,-5.022680664062477,18.419458007812523,861.2225341796875,19.91729164123535,35.95113921263418,5.600287437438965,239.79132080078125,4.613485336303711,0
2012,3,7,13,0,81,1040,918,81,1040,918,0,-5.489996337890602,18.483483886718773,861.170166015625,19.147493362426758,36.47323292696326,5.770842552185059,248.2577362060547,4.634115695953369,0
2012,3,7,13,30,81,1035,893,81,1035,893,0,-6.033148193359352,18.170220947265648,861.2384033203125,18.7368221282959,38.349905044039595,5.839364051818848,248.2577362060547,4.651536464691162,0
